Gender,Age Groups,Category,Product Name,Product Price,Image_url,colors,First Age,Last Age,sizes,description,HEEL HEIGHT,DESCRIPTION,FOOTWEAR STYLE,NICE TO KNOW
women,adult,shoes,KNEE-HIGH BOOTS,44.99,https://image.hm.com/assets/hm/77/eb/77ebfb63fa87e480162af27f768e8fc6e3c2526a.jpg?imwidth=1536,['Black'],19,200,"['2', '3', '4', '5', '6', '7', '8', '9']",Knee-high boots with pointed toes and narrow heels. Satin linings and insoles.,High heel,"Black, Solid colour",Boots,
women,adult,shoes,POINTED ANKLE BOOTS,42.99,https://image.hm.com/assets/hm/6c/17/6c1747bc7360181277dec8f6ad67f0db8e6a36a3.jpg?imwidth=1536,['Black'],19,200,"['2', '3', '4', '5', '6', '7', '8', '9']","Ankle boots with pointed toes, slanted block heels and a concealed zip at one side. Satin linings and insoles.",High heel,"Black, Solid colour",Boots,
women,adult,shoes,KNEE-HIGH BOOTS,64.99,https://image.hm.com/assets/hm/ab/8e/ab8e1224421788dc50f3d105937db3c96bbd430a.jpg?imwidth=1536,"['Black', 'Dark brown']",19,200,"['2', '3', '4', '5', '6', '7', '8', '9']","Knee-high boots in coated fabric with rounded toes, block heels and a loop at each side of the shafts. Satin linings. Height of soles 1.8 cm. Heel 8 cm.",High heel,"Black, Solid colour",Boots,
women,adult,shoes,POINTED SLINGBACKS,18.99,https://image.hm.com/assets/hm/e5/dd/e5dd49409924d0f83d4503a57a2e4aaf4208c2ef.jpg?imwidth=1536,"['Black', 'Dark beige']",19,200,"['2', '3', '4', '5', '6', '7', '8', '9']",Slingbacks with pointed toes and a heel strap with elastication at one side. Satin linings.,No heel,"Black, Solid colour",Slingbacks,
women,adult,shoes,CHELSEA BOOTS,37.99,https://image.hm.com/assets/hm/91/e2/91e232e9d988f16b1a4d71a13e25205f29ffb956.jpg?imwidth=1536,['Black'],19,200,"['2', '3', '4', '5', '6', '7', '8', '9']",Chelsea boots in coated fabric with elastic gores in the sides and a loop at the front and back. Jersey linings.,Low heel,"Black, Solid colour",Chelsea boots,
women,adult,shoes,CHUNKY CHELSEA BOOTS,37.99,https://image.hm.com/assets/hm/fc/a2/fca25767c931677025b53a5d84a45f4322708914.jpg?imwidth=1536,"['Dark brown', 'Black', 'Beige']",19,200,"['2', '3', '4', '5', '6', '7', '8', '9']",Chelsea boots with elastic gores in the sides and a loop at the back. Satin linings and chunky soles that are patterned underneath.,Low heel,"Dark brown, Solid colour",Chelsea boots,
men,adult,shoes,TRAINERS,37.99,https://image.hm.com/assets/hm/c1/ae/c1aea4ce1991934e2c351e7a7cc7bc23599f7186.jpg?imwidth=1536,['Dark grey'],27,200,"['6.5', '7.5', '8', '9', '9.5', '10.5', '11']",Retro-inspired trainers with a tongue and lacing at the front and a padded top edge. Jersey linings and insoles and soles that are patterned underneath. Height of soles 4.1 cm.,No heel,Dark grey,Trainers,
men,adult,shoes,LEATHER LOAFERS,89.99,https://image.hm.com/assets/hm/13/5c/135c32fbeadb6947df3010f95a4276a864fcf5a3.jpg?imwidth=1536,['Black'],27,200,"['6.5', '7.5', '8', '9', '9.5', '10.5', '11']","Loafers in soft leather with a decorative tab and moccasin seam at the front. Leather linings and insoles, and rubber soles that are patterned underneath. Heel 2.8 cm.",No heel,"Black, Solid colour",Loafers,H&M Premium Selection
men,adult,shoes,CHELSEA BOOTS,37.99,https://image.hm.com/assets/hm/9e/6a/9e6a985ff2a5781ce6e93f7d748c4540d6f7ac53.jpg?imwidth=1536,"['Brown', 'Black']",27,200,"['6.5', '7.5', '8', '9', '9.5', '10.5', '11']",Chelsea boots with elastic gores in the sides and a loop at the back. Canvas linings and insoles and soles that are patterned underneath. Heel 2.8 cm.,Low heel,"Brown, Solid colour",Chelsea boots,
men,adult,shoes,LEATHER DERBY SHOES,89.99,https://image.hm.com/assets/hm/da/b9/dab93b858afe51c8c9d43beb46ea1cec1318918f.jpg?imwidth=1536,['Black'],27,200,"['6.5', '7.5', '8', '9', '9.5', '10.5', '11']","Derby shoes in soft leather with open lacing at the front. Leather linings and insoles, and rubber soles that are patterned underneath. Heel 3 cm.",No heel,"Black, Solid colour",Derby shoes,H&M Premium Selection
men,adult,shoes,TRAINERS,19.99,https://image.hm.com/assets/hm/95/e2/95e270d247a7428ad24570b47459049b4a1e3ffe.jpg?imwidth=1536,"['White', 'White/Black', 'Grey', 'Dark blue', 'Dark grey', 'Black']",27,200,"['6.5', '7.5', '8', '9', '9.5', '10.5', '11']","Trainers with a padded top edge and tongue, and lacing at the front. Linings and insoles in piqué and rubber soles that are fluted underneath. Height of soles 3 cm.",No heel,"White, Solid colour",Trainers,
men,adult,shoes,LOAFERS,42.99,https://image.hm.com/assets/hm/d8/35/d83533926de632612c97c2b682ae997869e2fa1f.jpg?imwidth=1536,"['Black', 'Black', 'Beige', 'Dark brown']",27,200,"['6.5', '7.5', '8', '9', '9.5', '10.5', '11']","Loafers with a decorative tab and moccasin seam at the front. Canvas linings and insoles, and soles that are patterned underneath. Heel 3 cm.",,"Black, Solid colour",Loafers,
men,adult,shoes,TRAINERS,19.99,https://image.hm.com/assets/hm/c0/53/c053d51bcd5bc8e659b0a81a97d7a5ac6b2015ab.jpg?imwidth=1536,"['Dark grey', 'White/Black', 'Grey', 'Dark blue', 'White', 'Black']",27,200,"['6.5', '7.5', '8', '9', '9.5', '10.5', '11']","Trainers with a padded top edge and tongue, and lacing at the front. Linings and insoles in piqué and rubber soles that are fluted underneath. Height of soles 3 cm.",No heel,"Dark grey, Solid colour",Trainers,
men,adult,shoes,CHUNKY DERBY SHOES,42.99,https://image.hm.com/assets/hm/4c/9b/4c9bdfa979da4f6167a56f0b20d3daf54902666f.jpg?imwidth=1536,"['Black', 'Dark brown']",27,200,"['6.5', '7.5', '8', '9', '9.5', '10.5', '11']",Derby shoes with a grosgrain loop at the back and open lacing at the front. Canvas linings and insoles and chunky soles that are patterned underneath. Heel 3.5 cm.,Low heel,"Black, Solid colour",Derby shoes,
men,adult,shoes,LEATHER CHELSEA BOOTS,199,https://image.hm.com/assets/006/b5/be/b5be59c1f1c02533c145a6d9867de17708805feb.jpg?imwidth=1536,['Black'],27,200,"['6.5', '7.5', '8', '9', '9.5', '10.5', '11']",Chelsea boots crafted from chrome-free leather. Styled with a stitched rubber sole for durability. Elastic gussets on sides and pull strap at back make the boots easy to put on.,,"Black, Solid colour",Chelsea boots,
men,adult,shoes,TRAINERS,19.99,https://image.hm.com/assets/hm/21/5b/215b0276c51ce9c440ae2822ea67130c06c556f4.jpg?imwidth=1536,"['Dark blue', 'White/Black', 'Grey', 'Dark grey', 'White', 'Black']",27,200,"['6.5', '7.5', '8', '9', '9.5', '10.5', '11']","Trainers with a padded top edge and tongue, and lacing at the front. Linings and insoles in piqué and rubber soles that are fluted underneath. Height of soles 3 cm.",No heel,"Dark blue, Solid colour",Trainers,
men,adult,shoes,CHUNKY LOAFERS,42.99,https://image.hm.com/assets/hm/2f/6a/2f6a156c4ac86e28686fae6adf142bb0369b9c15.jpg?imwidth=1536,"['Dark brown', 'Black', 'Brown/Snakeskin-patterned', 'Black/Tassels']",27,200,"['6.5', '7.5', '8', '9', '9.5', '10.5', '11']","Loafers with a decorative tab and seam at the front. Canvas linings and insoles and chunky, patterned soles. Heel 3.2 cm.",Low heel,"Dark brown, Solid colour",Loafers,
men,adult,shoes,SLIP-ON TRAINERS,18.99,https://image.hm.com/assets/hm/92/ed/92ed27f59cb9b88918c7e169039f01f1b233f936.jpg?imwidth=1536,"['Light beige', 'Grey', 'Dark turquoise']",27,200,"['6.5', '7.5', '8', '9', '9.5', '10.5', '11']","Trainers in woven fabric with a top section in mesh, elastic gores in the sides and a loop at the back. Cork insoles and rubber soles that are patterned underneath. Height of soles 2 cm.",No heel,"Light beige, Solid colour","Slip-on, Trainers",
men,adult,shoes,CHUNKY LOAFERS,42.99,https://image.hm.com/assets/hm/45/5d/455d50291976d43b89d1aa7f7ed8888a8bdbe736.jpg?imwidth=1536,"['Black', 'Dark brown', 'Brown/Snakeskin-patterned', 'Black/Tassels']",27,200,"['6.5', '7.5', '8', '9', '9.5', '10.5', '11']","Loafers with a decorative tab and seam at the front. Canvas linings and insoles and chunky, patterned soles. Heel 3.2 cm.",Low heel,"Black, Solid colour",Loafers,
men,adult,shoes,PILE-LINED SLIPPERS,18.99,https://image.hm.com/assets/hm/b9/bc/b9bc753a16bfd7f7b2f3bab88d91d584eef1c33d.jpg?imwidth=1536,"['Dark grey', 'Greige', 'Brown', 'Black']",27,200,"['6.5-7.5', '8-9', '9-10.5']","Slippers with a decorative seam at the top, fluted soles and soft pile lining.",No heel,"Dark grey, Solid colour",,
men,adult,shoes,TRAINERS,27.99,https://image.hm.com/assets/hm/f1/23/f123c2924cef1ac4cdb18281a525ffd24db9b345.jpg?imwidth=1536,"['White', 'Black']",27,200,"['6.5', '7.5', '8', '9', '9.5', '10.5', '11']",Trainers with a tongue and lacing at the front and a padded top edge. Mesh linings and insoles and rubber soles that are patterned underneath. Height of soles 2.8 cm.,No heel,"White, Solid colour",Trainers,
